time,open,high,low,close,volume,symbol
2024-07-01 10:00:00,11.05,11.1,11.0,11.05,825100,AAA
2024-07-01 11:00:00,11.05,11.15,11.0,11.0,436100,AAA
2024-07-01 13:00:00,11.0,11.2,11.0,11.2,443500,AAA
2024-07-01 14:00:00,11.2,11.25,11.05,11.2,348400,AAA
2024-07-02 10:00:00,11.25,11.5,11.2,11.5,1720700,AAA
2024-07-02 11:00:00,11.5,11.5,11.35,11.35,687700,AAA
2024-07-02 13:00:00,11.35,11.35,11.25,11.3,283300,AAA
2024-07-02 14:00:00,11.3,11.35,11.25,11.3,1042400,AAA
2024-07-03 10:00:00,11.3,11.5,11.3,11.4,835100,AAA
2024-07-03 11:00:00,11.4,11.4,11.35,11.35,85400,AAA
2024-07-03 13:00:00,11.35,11.55,11.35,11.4,1611500,AAA
2024-07-03 14:00:00,11.4,11.5,11.4,11.5,714700,AAA
2024-07-04 10:00:00,11.55,11.55,11.4,11.45,944000,AAA
2024-07-04 11:00:00,11.45,11.5,11.45,11.5,82600,AAA
2024-07-04 13:00:00,11.5,11.5,11.4,11.4,365200,AAA
2024-07-04 14:00:00,11.4,11.45,11.3,11.4,724800,AAA
2024-07-05 10:00:00,11.8,11.9,11.65,11.7,7752100,AAA
2024-07-05 11:00:00,11.7,11.75,11.6,11.65,811400,AAA
2024-07-05 13:00:00,11.65,11.7,11.6,11.7,1648500,AAA
2024-07-05 14:00:00,11.7,11.75,11.65,11.65,1163600,AAA
2024-07-08 10:00:00,11.7,11.75,11.55,11.55,1044800,AAA
2024-07-08 11:00:00,11.55,11.6,11.55,11.6,103000,AAA
2024-07-08 13:00:00,11.6,11.85,11.55,11.75,2015000,AAA
2024-07-08 14:00:00,11.75,11.75,11.65,11.75,918600,AAA
2024-07-09 10:00:00,11.75,12.1,11.75,11.9,5644100,AAA
2024-07-09 11:00:00,11.9,11.95,11.9,11.9,316900,AAA
2024-07-09 13:00:00,11.9,11.9,11.75,11.8,1479700,AAA
2024-07-09 14:00:00,11.8,11.85,11.75,11.8,894300,AAA
2024-07-10 10:00:00,11.75,11.8,11.7,11.7,1476200,AAA
2024-07-10 11:00:00,11.7,11.75,11.7,11.75,132100,AAA
2024-07-10 13:00:00,11.75,11.8,11.7,11.7,1142600,AAA
2024-07-10 14:00:00,11.7,11.75,11.7,11.7,846100,AAA
2024-07-11 10:00:00,12.05,12.1,11.9,11.95,8547900,AAA
2024-07-11 11:00:00,11.95,12.0,11.9,11.9,701300,AAA
2024-07-11 13:00:00,11.9,11.95,11.85,11.9,832300,AAA
2024-07-11 14:00:00,11.9,12.05,11.85,12.05,1838400,AAA
2024-07-12 10:00:00,12.15,12.15,12.0,12.1,3545600,AAA
2024-07-12 11:00:00,12.1,12.15,12.05,12.05,391900,AAA
2024-07-12 13:00:00,12.05,12.15,12.0,12.05,1261900,AAA
2024-07-12 14:00:00,12.05,12.1,11.95,12.1,1475200,AAA
2024-07-15 10:00:00,12.05,12.1,11.95,12.0,765500,AAA
2024-07-15 11:00:00,12.0,12.55,12.0,12.4,2759400,AAA
2024-07-15 13:00:00,12.4,12.6,12.35,12.4,4468900,AAA
2024-07-15 14:00:00,12.4,12.45,12.25,12.4,1422300,AAA
